question,options,correct_ans,difficulty,marks,tags,createdAt,createdBy
What is the square root of 64?,"6,7,8,5",8,Easy,2,"math,squareroot",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
"If you borrow $5000 at an interest rate of 10% per year for 2 years, how much compound interest will you pay?","$1000,$1050,$1025,$1100",$1050,Hard,10,"math,compound interest",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
"A cuboid has dimensions 3 cm, 4 cm, and 5 cm. What is its volume?","60 cm³,70 cm³,50 cm³,55 cm³",60 cm³,Medium,5,"math,mensuration",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What is the value of sin(90°)?,"0.5,0,-1,1",1,Easy,2,"math,trigonometry",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
Find the hypotenuse of a right triangle with sides 6 cm and 8 cm.,"12 cm,9 cm,11 cm,10 cm",10 cm,Medium,5,"math,triangles",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
Factorize: x² + 5x + 6,"(x-2)(x+3),(x+1)(x+6),(x-1)(x+6),(x+2)(x+3)",(x+2)(x+3),Hard,10,"math,algebra",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What is the planet closest to the Sun?,"Mercury,Venus,Mars,Earth",Mercury,Easy,2,"science,planets",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
Which gas is most abundant in Earth's atmosphere?,"Argon,Nitrogen,Oxygen,Carbon Dioxide",Nitrogen,Medium,5,"science,air",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What happens when an acid reacts with a metal?,"Hydrogen gas is released,Oxygen gas is released,Water is formed,No reaction",Hydrogen gas is released,Medium,5,"science,acids and bases",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What is the primary function of chlorophyll in plants?,"Respiration,Transpiration,Photosynthesis,Growth",Photosynthesis,Easy,2,"science,plants",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What is the SI unit of electric current?,"Coulomb,Ampere,Volt,Ohm",Ampere,Easy,2,"science,electricity",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
A magnet has two poles: north and?,"East,West,North,South",South,Easy,2,"science,magnetism",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What is the term for the exchange of goods and services without using money?,"Barter,Trade,Commerce,Exchange",Barter,Medium,5,"social science,economics",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
Which layer of Earth is responsible for its magnetic field?,"Mantle,Crust,Core,Hydrosphere",Core,Medium,5,"social science,geography",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What is the process by which water changes from liquid to gas called?,"Evaporation,Condensation,Precipitation,Transpiration",Evaporation,Medium,5,"science,water cycle",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What is the name of the acid found in lemons?,"Hydrochloric acid,Citric acid,Sulfuric acid,Acetic acid",Citric acid,Easy,2,"science,acids and bases",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
Who is known as the Father of the Indian Constitution?,"Sardar Patel,Mahatma Gandhi,Jawaharlal Nehru,Dr. B.R. Ambedkar",Dr. B.R. Ambedkar,Easy,2,"social science,civics",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
What is the formula for the area of a triangle?,"0.5*base*height,base*height,length*width,2*length+2*width",0.5*base*height,Hard,10,"math,geometry",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
Name the planet known as the Red Planet.,"Jupiter,Venus,Mars,Saturn",Mars,Easy,2,"science,planets",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
Which of these metals is liquid at room temperature?,"Mercury,Gold,Iron,Copper",Mercury,Hard,10,"science,metals",2024-11-20T00:00:00.000Z,6739df3ca675df3827403485
